Model,Maker,Type,Seats,Displacement,Length,Width,Height,Wheelbase,No_of_Cylinders,Fuel,Engine Type,Transmission,Drive,Fuel Tank Capacity,Boot Space,Fuel Efficiency,Emission Type,Tyre Size,Engine Size,Horsepower
Virtus,Volkswagen,Sedan,5,999.0,4561,1752,1507,2651,3.0,Petrol,1.0L TSI,6-Speed MT,2WD,45.0,521.0,19.4,BS VI,205/55 R16,0.999,75
Virtus,Volkswagen,Sedan,5,999.0,4561,1752,1507,2651,3.0,Petrol,1.0L TSI,6-Speed AT,2WD,45.0,521.0,18.12,BS VI,205/55 R16,0.999,75
Virtus,Volkswagen,Sedan,5,1498.0,4561,1752,1507,2651,4.0,Petrol,1.5L TSI Evo with ACT,7-Speed DSG,2WD,45.0,521.0,18.67,BS VI,205/55 R16,1.498,110
Taigun,Volkswagen,Mid Size SUV,5,999.0,4221,1760,1612,2651,3.0,Petrol,1.0L TSI,6-Speed MT,2WD,50.0,385.0,19.2,BS VI,205/55 R17,0.999,75
Taigun,Volkswagen,Mid Size SUV,5,999.0,4221,1760,1612,2651,3.0,Petrol,1.0L TSI,6-Speed AT,2WD,50.0,385.0,17.23,BS VI,205/55 R17,0.999,75
Taigun,Volkswagen,Mid Size SUV,5,1498.0,4221,1760,1612,2651,3.0,Petrol,1.5L TSI Evo with ACT,6-Speed MT,2WD,50.0,385.0,18.47,BS VI,205/55 R17,1.498,110
Taigun,Volkswagen,Mid Size SUV,5,1498.0,4221,1760,1612,2651,3.0,Petrol,1.5L TSI Evo with ACT,7-Speed DSG,2WD,50.0,385.0,17.88,BS VI,205/55 R17,1.498,110
Tiguan,Volkswagen,SUV,5,1984.0,4509,1839,1665,2679,4.0,Petrol,2L TSI In-Line,7-Speed DSG 4MOTION,2WD,60.0,616.0,12.65,BS VI,235/55 R18,1.984,150
Amaze,Honda,Compact Sedan,5,1199.0,3995,1695,1501,2470,4.0,Petrol,SOHC i-VTEC,5 MT,2WD,35.0,420.0,18.6,BS VI,175/65 R15,1.199,110
Amaze,Honda,Compact Sedan,5,1199.0,3995,1695,1501,2470,4.0,Petrol,SOHC i-VTEC,CVT,2WD,35.0,420.0,18.3,BS VI,175/65 R15,1.199,110
Amaze,Honda,Compact Sedan,5,1498.0,3995,1695,1501,2470,4.0,Diesel,DOHC i-DTEC,5 MT,2WD,35.0,420.0,24.7,BS VI,175/65 R15,1.498,110
Amaze,Honda,Compact Sedan,5,1498.0,3995,1695,1501,2470,4.0,Diesel,DOHC i-DTEC,CVT,2WD,35.0,420.0,21.0,BS VI,175/65 R15,1.498,110
City 5th Gen,Honda,Sedan,5,1498.0,4549,1748,1489,2600,4.0,Petrol,i-VTEC DOHC with VTC,6 MT,2WD,40.0,506.0,17.8,BS VI,185/55 R16,1.498,110
City 5th Gen,Honda,Sedan,5,1498.0,4549,1748,1489,2600,4.0,Petrol,i-VTEC DOHC with VTC,CVT,2WD,40.0,506.0,18.4,BS VI,185/55 R16,1.498,110
City 5th Gen,Honda,Sedan,5,1498.0,4549,1748,1489,2600,4.0,Diesel,DOHC i-DTEC,6 MT,2WD,40.0,506.0,24.1,BS VI,185/55 R16,1.498,110
City e-HEV,Honda,Sedan,5,1498.0,4549,1748,1489,2600,4.0,Petrol Hybrid,Atkinson cycle i-VTEC DOHC with VTC,Single,2WD,40.0,506.0,26.5,BS VI,185/55 R16 87H,1.498,110
City 4th Gen,Honda,Sedan,5,1497.0,4440,1695,1495,2600,4.0,Petrol,SOHC i-VTEC,5 MT,2WD,40.0,510.0,17.4,BS VI,175/65 R15,1.497,110
WR-V,Honda,Compact SUV,5,1199.0,3999,1734,1601,2555,4.0,Petrol,SOHC i-VTEC,5 MT,2WD,40.0,363.0,16.5,BS VI,195/60 R16,1.199,110
WR-V,Honda,Compact SUV,5,1498.0,3999,1734,1601,2555,4.0,Diesel,DOHC i-DTEC,6 MT,2WD,40.0,363.0,23.7,BS VI,195/60 R16,1.498,110
Jazz,Honda,Hatchback,5,1199.0,3989,1694,1544,2530,4.0,Petrol,SOHC i-VTEC,5 MT,2WD,40.0,354.0,16.6,BS VI,175/65 R15,1.199,110
Jazz,Honda,Hatchback,5,1199.0,3989,1694,1544,2530,4.0,Petrol,SOHC i-VTEC,7-Speed CVT,2WD,40.0,354.0,17.1,BS VI,175/65 R15,1.199,110
Kicks,Nissan,SUV,5,1330.0,4384,1813,1669,2673,4.0,Petrol,HR 13DDT,6 MT,2 WD,50.0,400.0,16.0,BS VI,215/65 R16 ,1.33,110
Kicks,Nissan,SUV,5,1330.0,4384,1813,1669,2673,4.0,Petrol,HR 13DDT,CVT,2 WD,50.0,400.0,16.0,BS VI,215/65 R16 ,1.33,110
Kicks,Nissan,SUV,5,1498.0,4384,1813,1669,2673,4.0,Petrol,HR 15,5 MT,2 WD,50.0,400.0,13.9,BS VI,215/65 R16 ,1.498,110
GT-R,Nissan,Sports Car,2,3799.0,4710,1895,1370,2780,6.0,Petrol,VR38DETT,6-Speed DCT,4 WD,74.0,315.0,10.16,Euro 6,285/35/20,3.799,200
Magnite,Nissan,Compact SUV,5,999.0,3994,1758,1572,2500,3.0,Petrol,B4D 1.0L NA,5 MT,2 WD,40.0,336.0,18.75,BS VI,195/60 R16,0.999,75
Magnite,Nissan,Compact SUV,5,999.0,3994,1758,1572,2500,3.0,Petrol,HRAO 1.0L Turbo,5 MT,2 WD,40.0,336.0,20.0,BS VI,195/60 R16,0.999,75
Magnite,Nissan,Compact SUV,5,999.0,3994,1758,1572,2500,3.0,Petrol,HRAO 1.0L Turbo,CVT,2 WD,40.0,336.0,17.7,BS VI,195/60 R16,0.999,75
Kiger,Renault,Compact SUV,5,999.0,3991,1750,1605,2500,3.0,Petrol,1.0L Turbo,CVT,2 WD,40.0,405.0,18.2,BS VI,195/60 R16,0.999,75
Kiger,Renault,Compact SUV,5,999.0,3991,1750,1605,2500,3.0,Petrol,1.0L Turbo,5 MT,2 WD,40.0,405.0,20.5,BS VI,195/60 R16,0.999,75
Kiger,Renault,Compact SUV,5,999.0,3991,1750,1605,2500,3.0,Petrol,1.0L Energy,5 MT,2 WD,40.0,405.0,19.1,BS VI,195/60 R16,0.999,75
Kiger,Renault,Compact SUV,5,999.0,3991,1750,1605,2500,3.0,Petrol,1.0L Energy,AMT,2 WD,40.0,405.0,19.0,BS VI,195/60 R16,0.999,75
Triber,Renault,MUV,7,999.0,3991,1739,1643,2636,3.0,Petrol,1.0L Energy,5 MT,2 WD,40.0,625.0,19.0,BS VI,185/65 R15,0.999,75
Triber,Renault,MUV,7,999.0,3991,1739,1643,2636,3.0,Petrol,1.0L Energy,AMT,2 WD,40.0,625.0,18.2,BS VI,185/65 R15,0.999,75
Kwid,Renault,Hatchback,5,799.0,3731,1579,1490,2422,3.0,Petrol,0.8 SCe,5 MT,2 WD,28.0,279.0,20.7,BS VI,155/80 R13,0.799,75
Kwid,Renault,Hatchback,5,999.0,3731,1579,1490,2422,3.0,Petrol,1.0 Sce,5 MT,2 WD,28.0,279.0,21.7,BS VI,155/80 R13,0.999,75
Kwid,Renault,Hatchback,5,999.0,3731,1579,1490,2422,3.0,Petrol,1.0 Sce,AMT,2 WD,28.0,279.0,22.0,BS VI,155/80 R13,0.999,75
C3,Citroen,Hatchback,5,1198.0,3981,1733,1604,2540,3.0,Petrol,Puretech 82,5 MT,2 WD,30.0,315.0,19.8,BS VI,195/65 R15,1.198,110
C3,Citroen,Hatchback,5,1199.0,3981,1733,1604,2540,3.0,Petrol,Puretech 110,6 MT,2 WD,30.0,315.0,19.4,BS VI,195/65 R15,1.199,110
C5 Aircross,Citroen,SUV,5,1997.0,4500,2099,1710,2730,4.0,Diesel,DW10FC,8 AT,2 WD,52.5,580.0,18.6,BS VI,235/55 R18,1.997,150
Scorpio-N,Mahindra,SUV,6,2000.0,4662,1917,1857,2750,4.0,Petrol,mStallion,6 MT,2WD,57.0,460.0,,BS VI,255/16 R18,2.0,150
Scorpio-N,Mahindra,SUV,6,2000.0,4662,1917,1857,2750,4.0,Petrol,mStallion,6 AT,2WD,57.0,460.0,,BS VI,255/16 R18,2.0,150
Scorpio-N,Mahindra,SUV,7,2000.0,4662,1917,1857,2750,4.0,Petrol,mStallion,6 MT,2WD,57.0,460.0,,BS VI,255/16 R18,2.0,150
Scorpio-N,Mahindra,SUV,7,2000.0,4662,1917,1857,2750,4.0,Petrol,mStallion,6 AT,2WD,57.0,460.0,,BS VI,255/16 R18,2.0,150
